Source,Target
AAL,AAP
AAL,AAPL
AAL,ABBV
AAL,ABC
AAL,ABT
AAL,ACGL
AAL,ACN
AAL,ADM
AAL,ADP
AAL,ADSK
AAL,AEE
AAL,AEP
AAL,AES
AAL,AFL
AAL,AIG
AAL,AIZ
AAL,AJG
AAL,AKAM
AAL,ALK
AAL,ALL
AAL,ALLE
AAL,AMCR
AAL,AME
AAL,AMGN
AAL,AMP
AAL,AMT
AAL,AMZN
AAL,ANSS
AAL,AON
AAL,AOS
AAL,APA
AAL,APD
AAL,APH
AAL,APTV
AAL,ARE
AAL,ATO
AAL,ATVI
AAL,AVB
AAL,AVGO
AAL,AVY
AAL,AWK
AAL,AXP
AAL,AZO
AAL,BA
AAL,BAC
AAL,BALL
AAL,BAX
AAL,BDX
AAL,BEN
AAL,BK
AAL,BKNG
AAL,BKR
AAL,BLK
AAL,BMY
AAL,BR
AAL,BRO
AAL,BSX
AAL,BWA
AAL,BXP
AAL,C
AAL,CAG
AAL,CAH
AAL,CARR
AAL,CAT
AAL,CB
AAL,CBOE
AAL,CBRE
AAL,CCI
AAL,CDW
AAL,CE
AAL,CF
AAL,CFG
AAL,CHD
AAL,CHRW
AAL,CHTR
AAL,CI
AAL,CINF
AAL,CL
AAL,CMA
AAL,CMCSA
AAL,CME
AAL,CMG
AAL,CMI
AAL,CMS
AAL,CNC
AAL,CNP
AAL,COF
AAL,COO
AAL,COP
AAL,COST
AAL,CPB
AAL,CPRT
AAL,CPT
AAL,CRL
AAL,CSCO
AAL,CSGP
AAL,CSX
AAL,CTAS
AAL,CTLT
AAL,CTRA
AAL,CTSH
AAL,CTVA
AAL,CVS
AAL,CVX
AAL,CZR
AAL,D
AAL,DAL
AAL,DD
AAL,DE
AAL,DFS
AAL,DG
AAL,DGX
AAL,DHR
AAL,DIS
AAL,DLR
AAL,DLTR
AAL,DOV
AAL,DOW
AAL,DPZ
AAL,DRI
AAL,DTE
AAL,DUK
AAL,DVA
AAL,DXC
AAL,EA
AAL,EBAY
AAL,ECL
AAL,ED
AAL,EFX
AAL,EIX
AAL,EL
AAL,ELV
AAL,EMN
AAL,EMR
AAL,EOG
AAL,EPAM
AAL,EQIX
AAL,EQR
AAL,ES
AAL,ESS
AAL,ETN
AAL,ETR
AAL,EVRG
AAL,EW
AAL,EXC
AAL,EXPD
AAL,EXPE
AAL,EXR
AAL,F
AAL,FANG
AAL,FAST
AAL,FCX
AAL,FDS
AAL,FDX
AAL,FE
AAL,FFIV
AAL,FIS
AAL,FISV
AAL,FITB
AAL,FLT
AAL,FMC
AAL,FOX
AAL,FOXA
AAL,FRC
AAL,FRT
AAL,FTV
AAL,GD
AAL,GE
AAL,GEN
AAL,GILD
AAL,GL
AAL,GLW
AAL,GNRC
AAL,GOOG
AAL,GOOGL
AAL,GPC
AAL,GPN
AAL,GRMN
AAL,GS
AAL,GWW
AAL,HAS
AAL,HBAN
AAL,HCA
AAL,HD
AAL,HIG
AAL,HII
AAL,HLT
AAL,HOLX
AAL,HON
AAL,HPE
AAL,HPQ
AAL,HRL
AAL,HSIC
AAL,HST
AAL,HSY
AAL,HUM
AAL,HWM
AAL,IBM
AAL,ICE
AAL,IDXX
AAL,IEX
AAL,IFF
AAL,INCY
AAL,INTC
AAL,INVH
AAL,IP
AAL,IPG
AAL,IQV
AAL,IR
AAL,IRM
AAL,ISRG
AAL,IT
AAL,ITW
AAL,IVZ
AAL,J
AAL,JBHT
AAL,JCI
AAL,JKHY
AAL,JNJ
AAL,JNPR
AAL,JPM
AAL,K
AAL,KDP
AAL,KEY
AAL,KHC
AAL,KIM
AAL,KLAC
AAL,KMB
AAL,KMI
AAL,KO
AAL,L
AAL,LDOS
AAL,LH
AAL,LHX
AAL,LIN
AAL,LKQ
AAL,LLY
AAL,LMT
AAL,LNC
AAL,LNT
AAL,LOW
AAL,LRCX
AAL,LUMN
AAL,LUV
AAL,LW
AAL,LYB
AAL,LYV
AAL,MA
AAL,MAA
AAL,MAS
AAL,MCD
AAL,MCK
AAL,MCO
AAL,MDLZ
AAL,MET
AAL,META
AAL,MGM
AAL,MKC
AAL,MKTX
AAL,MLM
AAL,MMC
AAL,MMM
AAL,MNST
AAL,MO
AAL,MOH
AAL,MOS
AAL,MPC
AAL,MPWR
AAL,MRK
AAL,MS
AAL,MSI
AAL,MTB
AAL,MTCH
AAL,MTD
